Código OACI,CIAD,Nome,Município,UF,Município Servido,UF Servido,LATGEOPOINT,LONGEOPOINT,Latitude,Longitude,Altitude
SNLI,MG0040,Doutor José Mourão,ABAETÉ,Minas Gerais,Abaeté,Minas Gerais,-19.157222,-45.495833,"19°09'26.0""S","045°29'45.0""W","664,0"
SNVD,BA0050,Santa Maria da Vitória,SANTA MARIA DA VITÓRIA,Bahia,Santa Maria da Vitória,Bahia,-13.404722,-44.223056,"13°24'17.0""S","044°13'23.0""W","465,0"
SSLT,RS0022,Gaudêncio Machado Ramos,ALEGRETE,Rio Grande do Sul,Alegrete,Rio Grande do Sul,-29.8125,-55.893333,"29°48'45.0""S","055°53'36.0""W","125,0"
SSRE,PR0030,Realeza,REALEZA,Paraná,Realeza,Paraná,-25.801111,-53.513056,"25°48'04.0""S","053°30'47.0""W","501,0"
SDOV,GO0005,Mozarlândia,MOZARLÂNDIA,Goiás,Mozarlândia,Goiás,-14.768889,-50.565,"14°46'08.0""S","050°33'54.0""W","328,0"
SNAB,PE0009,Araripina,ARARIPINA,Pernambuco,Araripina,Pernambuco,-7.5863889,-40.535278,"07°35'11.0""S","040°32'07.0""W","669,0"
SDLL,SP0048,Yolanda Penteado,LEME,São Paulo,Leme,São Paulo,-22.225833,-47.380833,"22°13'33.0""S","047°22'51.0""W","627,0"
SNFO,MG0060,Formiga,FORMIGA,Minas Gerais,Formiga,Minas Gerais,-20.395278,-45.486667,"20°23'43.0""S","045°29'12.0""W","1017,0"
SWKQ,PI0004,Serra da Capivara/São Raimundo Nonato,SÃO RAIMUNDO NONATO,Piauí,São Raimundo Nonato,Piauí,-9.0827778,-42.644444,"09°04'58.0""S","042°38'40.0""W","415,0"
SBRP,SP0004,Leite Lopes,RIBEIRÃO PRETO,São Paulo,Ribeirão Preto,São Paulo,-21.136389,-47.776667,"21°08'11.0""S","047°46'36.0""W","550,0"
SNUI,MG0045,Araçuaí,ARAÇUAÍ,Minas Gerais,Araçuaí,Minas Gerais,-16.851944,-42.046111,"16°51'07.0""S","042°02'46.0""W","328,0"
SDXF,GO0020,Alto Paraíso de Goiás,ALTO PARAÍSO DE GOIÁS,Goiás,Alto Paraíso de Goiás,Goiás,-14.119167,-47.530278,"14°07'09.0""S","047°31'49.0""W","1345,0"
